Código do produto,Descrição,Preço unitário de varejo,                   Quantidade Solicitada/Enviada/Cancelada,Preço total de varejo,Pontos
10081938,Trio de Sombras Out of the Blue,37,1/0/0,37,15
10072013,"Duo de Sombras Hello, Sunshine! - Summer Sunset",45,1/0/0,45,23
10062146,Trio de Sombras Efeito Brilho Tuxedo,37,1/0/0,37,15
10075231,Quarteto Mineral de Sombras Chai Latte,65,1/0/0,65,36
10072292,Delineador Líquido em Caneta,49.9,1/0/0,49.9,29
10084725,Delineador em Gel para os Olhos - Black,59,1/0/0,59,25
10059576,Corretivo Yellow,39,1/0/0,39,20
10022936,Batom Cremoso Amber Suede,39.9,1/0/0,39.9,19
10022942,Batom Cremoso Apple Berry,39.9,1/0/0,39.9,19
10059513,Base Líquida TimeWise® acabamento Matte Beige 4,62,2/0/0,124,54
10026955,Amostra Creme de Limpeza e Hidratante TimeWise (Mista/Oleosa)- 6 pares,6,1/0/0,6,0
10087480,Lápis Retrátil para os Olhos Silver,39,1/0/0,39,18
10042768,Demaquilante para Área dos Olhos,59.9,2/0/0,119.8,52
10075232,Quarteto Mineral de Sombras Sandstorm,65,1/0/0,65,36
00000001,Produto de teste preço 0,0,1/0/0,0,30
00000002,Produto de teste pontos 0,10,1/0/0,10,0
-- 00000003,Produto de teste com traços,10,1/0/0,10,30
